p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	0.30733093974226	0.446	0.107	0	11	RB-LOC551870
0	0.30731113721894	0.482	0.132	0	11	LOC411809
0	0.307273445283843	0.997	0.712	0	11	LOC408465
0	0.307187726658022	0.451	0.114	0	11	LOC724959
0	0.307060742080037	0.388	0.087	0	11	Obp10
0	0.306913759523829	0.427	0.099	0	11	LOC551734
0	0.306584229322767	0.478	0.136	0	11	LOC725046
0	0.306394568340723	0.59	0.186	0	11	RB-LOC409599
0	0.306387317507095	0.395	0.085	0	11	LOC550875
0	0.306381816666293	0.414	0.097	0	11	LOC410269
0	0.30620356267657	0.372	0.073	0	11	LOC412711
0	0.306128944666099	0.571	0.175	0	11	MT-LOC410557
0	0.305949075428982	0.421	0.097	0	11	LOC413165
0	0.305618077736963	0.54	0.159	0	11	RB-LOC413470
0	0.305494410490327	0.587	0.189	0	11	LOC551143
0	0.30538107493049	0.458	0.117	0	11	LOC413943
0	0.305071879612714	0.446	0.112	0	11	LOC409485
0	0.30478394258787	0.372	0.07	0	11	LOC102655452
0	0.304733700519459	0.531	0.16	0	11	LOC411812
0	0.304602175824358	0.372	0.077	0	11	LOC410718
0	0.304596396541163	0.288	0.032	0	11	LOC408509
0	0.304537929876857	0.351	0.065	0	11	LOC552075
0	0.304454508161876	0.572	0.164	0	11	LOC551512
0	0.304159382009558	0.429	0.104	0	11	LOC413807
0	0.304010978053146	0.387	0.082	0	11	MT-LOC409155
0	0.303992200464106	0.364	0.078	0	11	LOC100578337
0	0.303760750066594	0.46	0.127	0	11	LOC409318
0	0.30371522674636	0.323	0.051	0	11	LOC726407
0	0.303409558738603	0.271	0.041	0	11	LOC100576679
0	0.303381199774067	0.481	0.129	0	11	LOC409276
0	0.303378939529107	0.342	0.061	0	11	LOC411901
0	0.303299293707912	0.451	0.115	0	11	LOC724986
0	0.303046508189452	0.481	0.134	0	11	LOC100576436
0	0.303045806487337	0.446	0.116	0	11	LOC408324
0	0.302907095103593	0.357	0.068	0	11	LOC724594
0	0.302706715270878	0.693	0.265	0	11	LOC409323
0	0.302689676965476	0.34	0.058	0	11	LOC412589
0	0.302530992921771	0.379	0.079	0	11	LOC411554
0	0.302515128449948	0.487	0.151	0	11	LOC726068
0	0.302331230953562	0.506	0.15	0	11	LOC409953
0	0.302304719506414	0.447	0.116	0	11	LOC726002
0	0.302248753760551	0.402	0.086	0	11	Chmp1
